photos\Gusynin.jpg	Гусинін Валерій Павлович
photos\Jenkovszky.jpg	Єнковський Ласло Ласлович
photos\Gorbar.jpg	Горбар Едуард Володимирович
photos\Shtanov.jpg	Штанов Юрій Володимирович
photos\Rudakovskyi.jpg	Рудаковський Антон Володимирович
photos\Gorenstein.jpg	Горенштейн Марк Ісакович
photos\Sinyukov.jpg	Синюков Юрій Михайлович
photos\Petrov.jpg	Петров Ельмар Григорович
photos\Gavrilik.jpg	Гаврилик Олександр Михайлович
photos\Zolotaryuk.jpg	Золотарюк Олександр Васильович
photos\Iorgov.jpg	Іоргов Микола Зіновійович
photos\Loktev.jpg	Локтєв Вадим Михайлович
photos\Vakhnenko.jpg	Вахненко Олексій Олексійович
photos\Yershov.jpg	Єршов Костянтин Васильович
photos\Sharapov.jpg	Шарапов Сергій Геннадійович
photos\Zolotaryuk_Ya.jpg	Золотарюк Ярослав Олександрович
photos\Starodub.jpg	Стародуб Іван Олексійович
photos\Volkov.jpg	Волков Сергій Наумович
photos\s_perepelytsya.jpg	Перепелиця Сергій Миколайович
photos\Lev.jpg	Лев Богдан Іванович
photos\Vidybida.jpg	Відибіда Олександр Костянтинович
photos\Zasenko.jpg	Засенко Володимир Іванович
photos\Semenov.jpg	Семенов Андрій Олександрович
photos\Kocherga.jpg	Кочерга Ольга Дмитрівна
photos\Grytsay.jpg	Грицай Валерій Йосипович
photos\Grygoryshyn.jpg	Григоришин Костянтин Віталійович
photos\usenkocv.jpg	Усенко Костянтин Володимирович
photos\Moskaliuk.jpg	Москалюк Степан Степанович
photos\Fomina.jpg	Фоміна Аліна Петрівна
photos\Rebesh.jpg	Ребеш Анастасія Петрівна
photos\Cherniak.jpg	Черняк Олександр Миколайович
photos\Tymchyshyn.jpg	Тимчишин Віталій Богданович
photos\Shchur.jpg	Щур Ольга Володимирівна
photos\Gonchar.jpg	Гончар Микола Семенович
photos\Kozyrski.jpg	Козирський Володимир Глібович
photos\Zhokhin.jpg	Жохін Анатолій Сергійович
photos\Makhort.jpg	Махорт Андрій Пилипович
photos\Petrov_N.jpg	Петров Микола Митрофанович
photos\Anchishkin.jpg	Анчишкін Дмитро Владленович
photos\Shadura.jpg	Шадура Віталій Миколайович
photos\Zagorodny.jpg	Анатолій Глібович Загородній
